frame_id,location_id,variant,video_path,frame_index,timestamp_seconds,frame_source,selection_role,target_fraction,selection_method,review_image
fci_night_4860,fci,night,backend\app\data\videos\fci\night\fci_video.mov,4860,162.143,original_source_video,regular,0.30,evenly_spaced_across_video,colab\outputs\validation\review_images\fci_night_4860_debug.jpg
fci_night_6481,fci,night,backend\app\data\videos\fci\night\fci_video.mov,6481,216.225,original_source_video,regular,0.40,evenly_spaced_across_video,colab\outputs\validation\review_images\fci_night_6481_debug.jpg
fci_night_8101,fci,night,backend\app\data\videos\fci\night\fci_video.mov,8101,270.272,original_source_video,regular,0.50,reviewed_frame_near_even_target,colab\outputs\validation\review_images\fci_night_8101_debug.jpg
fci_night_9721,fci,night,backend\app\data\videos\fci\night\fci_video.mov,9721,324.320,original_source_video,regular,0.60,evenly_spaced_across_video,colab\outputs\validation\review_images\fci_night_9721_debug.jpg
fci_night_11342,fci,night,backend\app\data\videos\fci\night\fci_video.mov,11342,378.401,original_source_video,regular,0.70,evenly_spaced_across_video,colab\outputs\validation\review_images\fci_night_11342_debug.jpg
fci_night_12962,fci,night,backend\app\data\videos\fci\night\fci_video.mov,12962,432.449,original_source_video,regular,0.80,reviewed_frame_near_even_target,colab\outputs\validation\review_images\fci_night_12962_debug.jpg
fci_night_14582,fci,night,backend\app\data\videos\fci\night\fci_video.mov,14582,486.497,original_source_video,regular,0.90,evenly_spaced_across_video,colab\outputs\validation\review_images\fci_night_14582_debug.jpg
fci_night_16203,fci,night,backend\app\data\videos\fci\night\fci_video.mov,16203,540.578,original_source_video,regular,1.00,evenly_spaced_across_video,colab\outputs\validation\review_images\fci_night_16203_debug.jpg
faie_day_0,faie,day,backend\app\data\videos\faie\day\faie_video.MOV,0,0.000,original_source_video,regular,0.00,evenly_spaced_across_video,colab\outputs\validation\review_images\faie_day_0_debug.jpg
faie_day_1809,faie,day,backend\app\data\videos\faie\day\faie_video.MOV,1809,60.353,original_source_video,regular,0.10,evenly_spaced_across_video,colab\outputs\validation\review_images\faie_day_1809_debug.jpg
faie_day_3619,faie,day,backend\app\data\videos\faie\day\faie_video.MOV,3619,120.740,original_source_video,regular,0.20,reviewed_frame_near_even_target,colab\outputs\validation\review_images\faie_day_3619_debug.jpg
faie_day_5429,faie,day,backend\app\data\videos\faie\day\faie_video.MOV,5429,181.127,original_source_video,regular,0.30,evenly_spaced_across_video,colab\outputs\validation\review_images\faie_day_5429_debug.jpg
faie_day_7238,faie,day,backend\app\data\videos\faie\day\faie_video.MOV,7238,241.480,original_source_video,regular,0.40,evenly_spaced_across_video,colab\outputs\validation\review_images\faie_day_7238_debug.jpg
faie_day_9049,faie,day,backend\app\data\videos\faie\day\faie_video.MOV,9049,301.900,original_source_video,regular,0.50,reviewed_frame_near_even_target,colab\outputs\validation\review_images\faie_day_9049_debug.jpg
faie_day_10858,faie,day,backend\app\data\videos\faie\day\faie_video.MOV,10858,362.253,original_source_video,regular,0.60,evenly_spaced_across_video,colab\outputs\validation\review_images\faie_day_10858_debug.jpg
faie_day_12667,faie,day,backend\app\data\videos\faie\day\faie_video.MOV,12667,422.607,original_source_video,regular,0.70,evenly_spaced_across_video,colab\outputs\validation\review_images\faie_day_12667_debug.jpg
faie_day_14478,faie,day,backend\app\data\videos\faie\day\faie_video.MOV,14478,483.027,original_source_video,regular,0.80,reviewed_frame_near_even_target,colab\outputs\validation\review_images\faie_day_14478_debug.jpg
faie_day_16287,faie,day,backend\app\data\videos\faie\day\faie_video.MOV,16287,543.380,original_source_video,regular,0.90,evenly_spaced_across_video,colab\outputs\validation\review_images\faie_day_16287_debug.jpg
faie_day_18097,faie,day,backend\app\data\videos\faie\day\faie_video.MOV,18097,603.767,original_source_video,regular,1.00,evenly_spaced_across_video,colab\outputs\validation\review_images\faie_day_18097_debug.jpg
faie_night_0,faie,night,backend\app\data\videos\faie\night\faie_video.MOV,0,0.000,original_source_video,regular,0.00,evenly_spaced_across_video,colab\outputs\validation\review_images\faie_night_0_debug.jpg
faie_night_1016,faie,night,backend\app\data\videos\faie\night\faie_video.MOV,1016,42.331,original_source_video,regular,0.10,evenly_spaced_across_video,colab\outputs\validation\review_images\faie_night_1016_debug.jpg
faie_night_2032,faie,night,backend\app\data\videos\faie\night\faie_video.MOV,2032,84.661,original_source_video,regular,0.20,reviewed_frame_near_even_target,colab\outputs\validation\review_images\faie_night_2032_debug.jpg
faie_night_3048,faie,night,backend\app\data\videos\faie\night\faie_video.MOV,3048,126.992,original_source_video,regular,0.30,evenly_spaced_across_video,colab\outputs\validation\review_images\faie_night_3048_debug.jpg
faie_night_4065,faie,night,backend\app\data\videos\faie\night\faie_video.MOV,4065,169.364,original_source_video,regular,0.40,evenly_spaced_across_video,colab\outputs\validation\review_images\faie_night_4065_debug.jpg
faie_night_5082,faie,night,backend\app\data\videos\faie\night\faie_video.MOV,5082,211.736,original_source_video,regular,0.50,reviewed_frame_near_even_target,colab\outputs\validation\review_images\faie_night_5082_debug.jpg
faie_night_6097,faie,night,backend\app\data\videos\faie\night\faie_video.MOV,6097,254.025,original_source_video,regular,0.60,evenly_spaced_across_video,colab\outputs\validation\review_images\faie_night_6097_debug.jpg
faie_night_7114,faie,night,backend\app\data\videos\faie\night\faie_video.MOV,7114,296.397,original_source_video,regular,0.70,evenly_spaced_across_video,colab\outputs\validation\review_images\faie_night_7114_debug.jpg
faie_night_8131,faie,night,backend\app\data\videos\faie\night\faie_video.MOV,8131,338.769,original_source_video,regular,0.80,reviewed_frame_near_even_target,colab\outputs\validation\review_images\faie_night_8131_debug.jpg
faie_night_9146,faie,night,backend\app\data\videos\faie\night\faie_video.MOV,9146,381.058,original_source_video,regular,0.90,evenly_spaced_across_video,colab\outputs\validation\review_images\faie_night_9146_debug.jpg
faie_night_10163,faie,night,backend\app\data\videos\faie\night\faie_video.MOV,10163,423.430,original_source_video,regular,1.00,evenly_spaced_across_video,colab\outputs\validation\review_images\faie_night_10163_debug.jpg
